productid,productname,price,dateofmanufacture,expirationdate,kashrut,categoryid,supplierid
57,Product57,53.5,2024-12-28,2024-02-23,Rabbanut,2,57
58,Product58,85.91,2025-01-09,2025-09-05,Rabbanut,3,58
59,Product59,94.17,2025-02-24,2025-10-06,Rabbanut,4,59
60,Product60,34.43,2025-04-24,2025-08-25,Rabbanut,5,60
61,Product61,84.0,2024-05-23,2025-11-08,Rabbanut,1,61
62,Product62,7.22,2024-12-29,2025-09-01,Rabbanut,2,62
63,Product63,14.99,2025-08-07,2024-11-23,Rabbanut,3,63
64,Product64,83.93,2024-09-25,2024-02-18,Rabbanut,4,64
65,Product65,46.99,2025-01-28,2024-01-29,Rabbanut,5,65
66,Product66,18.22,2024-02-20,2024-09-29,Rabbanut,1,66
67,Product67,67.05,2025-11-28,2024-12-27,Rabbanut,2,67
68,Product68,20.56,2025-11-22,2025-01-02,Rabbanut,3,68
69,Product69,12.72,2024-05-26,2025-10-17,Rabbanut,4,69
70,Product70,70.87,2025-06-23,2025-09-28,Rabbanut,5,70
71,Product71,87.19,2025-03-24,2024-04-18,Rabbanut,1,71
72,Product72,81.1,2024-02-04,2024-10-11,Rabbanut,2,72
73,Product73,44.55,2025-06-25,2025-02-22,Rabbanut,3,73
74,Product74,45.0,2024-04-10,2025-06-30,Rabbanut,4,74
75,Product75,33.98,2024-10-10,2024-10-08,Rabbanut,5,75
76,Product76,8.78,2024-09-01,2025-01-29,Rabbanut,1,76
77,Product77,98.05,2025-12-03,2025-12-22,Rabbanut,2,77
78,Product78,68.23,2025-02-06,2025-07-10,Rabbanut,3,78
79,Product79,22.78,2024-07-30,2025-12-04,Rabbanut,4,79
80,Product80,73.1,2024-11-05,2025-03-02,Rabbanut,5,80
81,Product81,7.95,2025-07-14,2024-05-27,Rabbanut,1,81
82,Product82,41.94,2024-10-15,2024-10-07,Rabbanut,2,82
83,Product83,39.94,2025-10-16,2025-05-27,Rabbanut,3,83
84,Product84,54.42,2024-09-20,2025-08-06,Rabbanut,4,84
85,Product85,44.74,2024-06-17,2025-01-13,Rabbanut,5,85
86,Product86,10.41,2025-02-19,2024-12-02,Rabbanut,1,86
87,Product87,25.5,2025-03-23,2024-12-31,Rabbanut,2,87
88,Product88,13.09,2025-01-21,2025-12-30,Rabbanut,3,88
89,Product89,62.93,2024-06-23,2025-03-24,Rabbanut,4,89
90,Product90,91.37,2025-10-25,2024-03-02,Rabbanut,5,90
91,Product91,58.23,2024-07-22,2024-01-26,Rabbanut,1,91
92,Product92,25.99,2025-10-11,2024-07-19,Rabbanut,2,92
93,Product93,7.07,2024-03-11,2025-02-24,Rabbanut,3,93
94,Product94,54.71,2025-11-29,2024-11-21,Rabbanut,4,94
95,Product95,45.25,2025-06-27,2025-12-22,Rabbanut,5,95
96,Product96,57.2,2025-02-23,2025-06-17,Rabbanut,1,96
97,Product97,74.04,2025-10-29,2025-08-02,Rabbanut,2,97
98,Product98,14.35,2024-02-16,2024-06-21,Rabbanut,3,98
99,Product99,59.26,2024-10-29,2024-02-21,Rabbanut,4,99
100,Product100,5.22,2024-03-04,2024-12-07,Rabbanut,5,100
101,Product101,37.28,2024-07-12,2024-05-12,Rabbanut,1,101
102,Product102,60.9,2025-10-09,2025-08-31,Rabbanut,2,102
103,Product103,51.11,2025-10-13,2025-04-20,Rabbanut,3,103
104,Product104,45.07,2024-05-30,2024-02-05,Rabbanut,4,104
105,Product105,40.0,2024-03-09,2025-05-10,Rabbanut,5,105
106,Product106,66.34,2024-01-28,2024-11-29,Rabbanut,1,106
107,Product107,81.77,2025-09-01,2025-11-11,Rabbanut,2,107
108,Product108,12.29,2024-03-12,2024-07-04,Rabbanut,3,108
109,Product109,96.43,2025-12-18,2024-11-15,Rabbanut,4,109
110,Product110,6.87,2024-04-26,2025-12-26,Rabbanut,5,110
111,Product111,72.15,2024-06-21,2025-09-24,Rabbanut,1,111
112,Product112,21.87,2025-09-21,2025-07-23,Rabbanut,2,112
113,Product113,46.85,2024-06-22,2025-10-04,Rabbanut,3,113
114,Product114,96.82,2025-12-17,2024-08-19,Rabbanut,4,114
115,Product115,14.0,2024-10-08,2025-04-08,Rabbanut,5,115
116,Product116,85.69,2025-03-27,2025-10-09,Rabbanut,1,116
117,Product117,11.81,2024-01-09,2024-01-26,Rabbanut,2,117
118,Product118,94.5,2024-02-07,2024-02-05,Rabbanut,3,118
119,Product119,74.22,2024-05-16,2025-02-26,Rabbanut,4,119
120,Product120,96.88,2025-12-14,2024-06-09,Rabbanut,5,120
121,Product121,90.88,2024-10-04,2025-11-04,Rabbanut,1,121
122,Product122,97.58,2025-01-02,2024-12-01,Rabbanut,2,122
123,Product123,87.12,2024-07-05,2024-05-11,Rabbanut,3,123
124,Product124,31.08,2024-01-06,2024-01-06,Rabbanut,4,124
125,Product125,61.7,2025-07-11,2024-09-02,Rabbanut,5,125
126,Product126,28.3,2025-04-21,2024-12-03,Rabbanut,1,126
127,Product127,83.25,2024-08-21,2025-01-26,Rabbanut,2,127
128,Product128,57.46,2024-02-25,2025-04-01,Rabbanut,3,128
129,Product129,63.76,2025-02-15,2024-07-23,Rabbanut,4,129
130,Product130,66.48,2024-05-25,2025-11-11,Rabbanut,5,130
131,Product131,49.7,2025-08-12,2024-02-08,Rabbanut,1,131
132,Product132,79.77,2025-10-14,2024-01-18,Rabbanut,2,132
133,Product133,63.72,2025-07-28,2025-03-19,Rabbanut,3,133
134,Product134,80.59,2024-06-01,2025-06-14,Rabbanut,4,134
135,Product135,7.66,2024-03-24,2024-09-26,Rabbanut,5,135
136,Product136,86.71,2024-09-22,2025-04-14,Rabbanut,1,136
137,Product137,88.8,2025-12-04,2025-02-23,Rabbanut,2,137
138,Product138,13.94,2025-12-21,2025-07-13,Rabbanut,3,138
139,Product139,52.66,2024-09-27,2024-07-03,Rabbanut,4,139
140,Product140,70.18,2024-12-13,2024-03-27,Rabbanut,5,140
141,Product141,7.06,2024-03-19,2024-07-26,Rabbanut,1,141
142,Product142,6.82,2025-09-03,2025-10-09,Rabbanut,2,142
143,Product143,96.59,2025-04-02,2024-02-25,Rabbanut,3,143
144,Product144,11.2,2024-06-17,2024-08-20,Rabbanut,4,144
145,Product145,27.41,2025-10-03,2025-10-25,Rabbanut,5,145
146,Product146,85.25,2024-10-24,2024-11-06,Rabbanut,1,146
147,Product147,51.65,2024-03-07,2025-03-01,Rabbanut,2,147
148,Product148,39.01,2024-08-11,2024-03-11,Rabbanut,3,148
149,Product149,98.03,2025-02-07,2024-02-11,Rabbanut,4,149
150,Product150,44.45,2024-04-13,2025-05-22,Rabbanut,5,150
151,Product151,43.16,2025-04-13,2025-07-05,Rabbanut,1,151
152,Product152,75.71,2024-09-23,2024-09-30,Rabbanut,2,152
153,Product153,66.81,2024-03-11,2025-07-30,Rabbanut,3,153
154,Product154,87.14,2024-01-23,2025-12-22,Rabbanut,4,154
155,Product155,23.43,2025-02-14,2025-11-09,Rabbanut,5,155
156,Product156,68.0,2025-06-04,2025-08-05,Rabbanut,1,156
157,Product157,6.25,2024-08-22,2024-11-08,Rabbanut,2,157
158,Product158,69.7,2025-01-25,2025-12-30,Rabbanut,3,158
159,Product159,23.57,2024-03-29,2024-12-27,Rabbanut,4,159
160,Product160,91.68,2025-01-23,2025-04-09,Rabbanut,5,160
161,Product161,85.02,2025-07-12,2025-01-05,Rabbanut,1,161
162,Product162,97.85,2025-08-08,2025-06-04,Rabbanut,2,162
163,Product163,51.67,2025-06-21,2024-01-05,Rabbanut,3,163
164,Product164,88.8,2025-01-05,2025-11-13,Rabbanut,4,164
165,Product165,75.29,2024-05-23,2024-07-18,Rabbanut,5,165
166,Product166,44.27,2024-12-27,2024-04-16,Rabbanut,1,166
167,Product167,33.51,2024-05-24,2024-12-18,Rabbanut,2,167
168,Product168,43.87,2025-04-25,2024-10-23,Rabbanut,3,168
169,Product169,85.99,2024-04-16,2025-06-19,Rabbanut,4,169
170,Product170,70.57,2025-08-02,2024-05-04,Rabbanut,5,170
171,Product171,79.44,2025-12-29,2024-05-15,Rabbanut,1,171
172,Product172,87.78,2025-04-11,2025-11-12,Rabbanut,2,172
173,Product173,86.05,2025-07-21,2024-05-15,Rabbanut,3,173
174,Product174,55.73,2024-04-07,2025-10-31,Rabbanut,4,174
175,Product175,7.76,2024-03-02,2024-03-16,Rabbanut,5,175
176,Product176,43.77,2024-04-17,2025-03-15,Rabbanut,1,176
177,Product177,6.02,2025-05-19,2024-10-25,Rabbanut,2,177
178,Product178,35.48,2024-05-20,2025-12-07,Rabbanut,3,178
179,Product179,89.07,2025-07-24,2025-08-11,Rabbanut,4,179
180,Product180,92.41,2025-10-07,2025-08-09,Rabbanut,5,180
181,Product181,5.04,2025-09-04,2025-04-16,Rabbanut,1,181
182,Product182,24.46,2024-09-04,2024-01-25,Rabbanut,2,182
183,Product183,81.99,2024-06-05,2025-08-20,Rabbanut,3,183
184,Product184,97.73,2024-05-28,2024-09-29,Rabbanut,4,184
185,Product185,12.31,2025-06-12,2025-02-06,Rabbanut,5,185
186,Product186,45.52,2025-03-12,2025-07-06,Rabbanut,1,186
187,Product187,33.84,2024-04-10,2024-07-25,Rabbanut,2,187
188,Product188,42.33,2025-08-26,2024-05-31,Rabbanut,3,188
189,Product189,95.37,2025-04-03,2024-05-06,Rabbanut,4,189
190,Product190,63.25,2024-05-26,2024-06-13,Rabbanut,5,190
191,Product191,36.62,2024-06-20,2024-09-16,Rabbanut,1,191
192,Product192,92.04,2025-08-02,2025-02-06,Rabbanut,2,192
193,Product193,18.08,2025-01-18,2024-12-23,Rabbanut,3,193
194,Product194,35.83,2024-10-29,2024-10-24,Rabbanut,4,194
195,Product195,78.98,2025-08-26,2024-11-26,Rabbanut,5,195
196,Product196,82.77,2024-10-28,2024-03-04,Rabbanut,1,196
197,Product197,34.28,2025-02-09,2025-03-10,Rabbanut,2,197
198,Product198,64.12,2025-04-27,2024-09-05,Rabbanut,3,198
199,Product199,13.33,2024-08-12,2024-01-20,Rabbanut,4,199
200,Product200,19.09,2024-06-03,2024-05-11,Rabbanut,5,200
201,Product201,57.8,2024-06-17,2024-03-16,Rabbanut,1,201
202,Product202,52.27,2024-04-07,2024-11-29,Rabbanut,2,202
203,Product203,28.64,2025-07-13,2024-11-21,Rabbanut,3,203
204,Product204,23.99,2024-04-27,2024-02-21,Rabbanut,4,204
205,Product205,84.88,2024-01-04,2024-09-23,Rabbanut,5,205
206,Product206,5.33,2025-07-22,2024-03-12,Rabbanut,1,206
207,Product207,74.71,2025-09-14,2025-10-02,Rabbanut,2,207
208,Product208,84.26,2025-07-28,2024-10-03,Rabbanut,3,208
209,Product209,95.89,2024-08-07,2025-11-12,Rabbanut,4,209
210,Product210,41.48,2025-06-28,2025-08-08,Rabbanut,5,210
211,Product211,96.09,2024-02-24,2024-10-19,Rabbanut,1,211
212,Product212,90.02,2024-12-20,2025-07-08,Rabbanut,2,212
213,Product213,32.75,2024-06-01,2025-10-24,Rabbanut,3,213
214,Product214,97.83,2025-12-24,2025-05-02,Rabbanut,4,214
215,Product215,31.69,2024-04-20,2025-05-19,Rabbanut,5,215
216,Product216,87.78,2024-08-13,2024-03-26,Rabbanut,1,216
217,Product217,9.5,2025-10-30,2024-03-31,Rabbanut,2,217
218,Product218,56.13,2025-03-19,2025-07-26,Rabbanut,3,218
219,Product219,43.6,2024-03-27,2024-03-10,Rabbanut,4,219
220,Product220,10.78,2025-05-02,2025-05-15,Rabbanut,5,220
221,Product221,16.58,2025-03-12,2024-12-18,Rabbanut,1,221
222,Product222,23.16,2025-04-26,2024-11-28,Rabbanut,2,222
223,Product223,58.98,2025-12-24,2025-11-07,Rabbanut,3,223
224,Product224,83.69,2025-02-16,2025-04-12,Rabbanut,4,224
225,Product225,60.69,2024-01-25,2024-10-17,Rabbanut,5,225
226,Product226,28.33,2025-11-23,2025-11-28,Rabbanut,1,226
227,Product227,9.85,2024-03-18,2024-08-22,Rabbanut,2,227
228,Product228,97.8,2024-09-01,2024-05-16,Rabbanut,3,228
229,Product229,22.79,2025-04-30,2024-01-12,Rabbanut,4,229
230,Product230,34.59,2024-09-14,2025-09-06,Rabbanut,5,230
231,Product231,54.65,2025-12-16,2025-02-13,Rabbanut,1,231
232,Product232,75.28,2025-02-10,2024-10-24,Rabbanut,2,232
233,Product233,44.0,2024-03-19,2025-08-01,Rabbanut,3,233
234,Product234,75.48,2025-10-19,2025-01-16,Rabbanut,4,234
235,Product235,75.12,2024-12-09,2025-05-01,Rabbanut,5,235
236,Product236,51.98,2024-06-07,2024-05-21,Rabbanut,1,236
237,Product237,76.92,2025-03-16,2025-05-09,Rabbanut,2,237
238,Product238,42.7,2024-05-17,2024-07-12,Rabbanut,3,238
239,Product239,97.58,2024-05-05,2024-11-18,Rabbanut,4,239
240,Product240,47.63,2025-01-07,2025-08-31,Rabbanut,5,240
241,Product241,31.14,2025-02-02,2025-11-15,Rabbanut,1,241
242,Product242,32.36,2024-06-24,2025-08-25,Rabbanut,2,242
243,Product243,81.55,2024-01-24,2024-09-16,Rabbanut,3,243
244,Product244,29.58,2025-09-20,2025-03-09,Rabbanut,4,244
245,Product245,53.45,2024-10-08,2025-09-13,Rabbanut,5,245
246,Product246,92.86,2024-06-18,2024-12-24,Rabbanut,1,246
247,Product247,65.2,2024-03-31,2025-03-09,Rabbanut,2,247
248,Product248,19.78,2025-03-25,2024-04-02,Rabbanut,3,248
249,Product249,84.81,2024-05-31,2025-04-12,Rabbanut,4,249
250,Product250,31.76,2024-08-27,2025-02-11,Rabbanut,5,250
251,Product251,8.05,2024-12-04,2024-03-26,Rabbanut,1,251
252,Product252,55.45,2024-02-23,2025-02-14,Rabbanut,2,252
253,Product253,34.58,2025-06-15,2024-01-06,Rabbanut,3,253
254,Product254,44.15,2025-11-17,2025-03-14,Rabbanut,4,254
255,Product255,19.6,2024-07-19,2024-08-16,Rabbanut,5,255
256,Product256,93.39,2025-12-25,2024-04-12,Rabbanut,1,256
257,Product257,52.34,2025-09-04,2025-10-26,Rabbanut,2,257
258,Product258,77.77,2025-06-23,2025-09-16,Rabbanut,3,258
259,Product259,98.82,2024-09-18,2025-05-20,Rabbanut,4,259
260,Product260,92.52,2025-05-30,2025-09-19,Rabbanut,5,260
261,Product261,13.44,2024-04-01,2025-12-25,Rabbanut,1,261
262,Product262,41.67,2025-03-04,2024-09-23,Rabbanut,2,262
263,Product263,16.04,2025-07-07,2025-08-13,Rabbanut,3,263
264,Product264,12.09,2025-10-31,2025-04-11,Rabbanut,4,264
265,Product265,13.2,2025-09-12,2024-10-25,Rabbanut,5,265
266,Product266,89.37,2024-07-08,2024-08-20,Rabbanut,1,266
267,Product267,55.89,2024-08-30,2024-08-07,Rabbanut,2,267
268,Product268,60.51,2025-07-15,2025-10-01,Rabbanut,3,268
269,Product269,37.84,2025-01-16,2024-12-14,Rabbanut,4,269
270,Product270,20.14,2024-08-27,2024-10-29,Rabbanut,5,270
271,Product271,9.05,2025-10-28,2025-05-12,Rabbanut,1,271
272,Product272,89.37,2025-07-27,2025-01-07,Rabbanut,2,272
273,Product273,51.81,2025-02-09,2025-01-18,Rabbanut,3,273
274,Product274,13.44,2024-09-06,2025-01-27,Rabbanut,4,274
275,Product275,13.86,2024-05-05,2025-10-03,Rabbanut,5,275
276,Product276,6.2,2025-04-05,2024-09-30,Rabbanut,1,276
277,Product277,37.54,2025-11-16,2024-03-18,Rabbanut,2,277
278,Product278,81.65,2025-08-26,2024-10-18,Rabbanut,3,278
279,Product279,5.1,2024-10-03,2024-04-15,Rabbanut,4,279
280,Product280,44.92,2024-03-22,2025-08-03,Rabbanut,5,280
281,Product281,90.59,2025-05-09,2024-05-24,Rabbanut,1,281
282,Product282,35.76,2025-04-10,2025-05-27,Rabbanut,2,282
283,Product283,64.65,2025-03-05,2024-04-03,Rabbanut,3,283
284,Product284,63.09,2025-10-02,2025-05-03,Rabbanut,4,284
285,Product285,58.64,2024-10-28,2024-01-11,Rabbanut,5,285
286,Product286,15.89,2024-07-16,2025-04-16,Rabbanut,1,286
287,Product287,73.8,2024-05-26,2024-10-15,Rabbanut,2,287
288,Product288,95.15,2025-05-04,2025-03-12,Rabbanut,3,288
289,Product289,76.27,2025-04-25,2024-05-23,Rabbanut,4,289
290,Product290,72.27,2025-05-11,2025-03-14,Rabbanut,5,290
291,Product291,39.46,2024-11-02,2024-08-22,Rabbanut,1,291
292,Product292,75.04,2024-05-06,2024-05-19,Rabbanut,2,292
293,Product293,82.72,2024-02-01,2025-03-19,Rabbanut,3,293
294,Product294,61.69,2024-09-18,2025-06-15,Rabbanut,4,294
295,Product295,84.43,2024-04-19,2024-09-24,Rabbanut,5,295
296,Product296,18.62,2024-01-22,2025-11-30,Rabbanut,1,296
297,Product297,97.42,2024-05-03,2025-04-16,Rabbanut,2,297
298,Product298,61.72,2024-03-27,2024-08-11,Rabbanut,3,298
299,Product299,28.81,2024-03-18,2025-03-29,Rabbanut,4,299
300,Product300,14.6,2024-04-25,2024-06-21,Rabbanut,5,300
301,Product301,45.59,2024-01-12,2025-01-18,Rabbanut,1,301
302,Product302,83.25,2024-12-16,2024-09-07,Rabbanut,2,302
303,Product303,17.92,2024-09-22,2024-06-12,Rabbanut,3,303
304,Product304,52.61,2024-11-03,2025-08-06,Rabbanut,4,304
305,Product305,89.79,2025-09-14,2024-11-19,Rabbanut,5,305
306,Product306,23.26,2024-04-15,2024-06-27,Rabbanut,1,306
307,Product307,33.51,2025-06-29,2025-03-17,Rabbanut,2,307
308,Product308,21.78,2024-05-15,2024-03-24,Rabbanut,3,308
309,Product309,51.78,2024-04-13,2025-08-12,Rabbanut,4,309
310,Product310,70.0,2024-01-29,2024-01-23,Rabbanut,5,310
311,Product311,49.69,2024-12-16,2024-11-27,Rabbanut,1,311
312,Product312,53.54,2024-05-27,2025-04-23,Rabbanut,2,312
313,Product313,19.2,2025-12-27,2025-05-07,Rabbanut,3,313
314,Product314,97.23,2024-08-26,2025-02-28,Rabbanut,4,314
315,Product315,50.0,2025-03-02,2024-01-23,Rabbanut,5,315
316,Product316,35.75,2024-01-11,2025-03-19,Rabbanut,1,316
317,Product317,7.56,2024-10-29,2025-03-25,Rabbanut,2,317
318,Product318,25.76,2025-10-09,2025-07-13,Rabbanut,3,318
319,Product319,82.39,2025-09-01,2024-11-27,Rabbanut,4,319
320,Product320,82.63,2024-08-29,2025-07-12,Rabbanut,5,320
321,Product321,33.98,2024-07-07,2025-11-25,Rabbanut,1,321
322,Product322,53.51,2025-05-10,2025-12-28,Rabbanut,2,322
323,Product323,76.08,2024-12-17,2024-03-20,Rabbanut,3,323
324,Product324,36.05,2024-03-04,2024-01-26,Rabbanut,4,324
325,Product325,32.27,2024-10-24,2024-02-24,Rabbanut,5,325
326,Product326,25.07,2025-03-16,2025-11-29,Rabbanut,1,326
327,Product327,63.75,2024-12-01,2024-01-07,Rabbanut,2,327
328,Product328,65.87,2025-12-30,2024-11-03,Rabbanut,3,328
329,Product329,18.51,2024-05-11,2024-11-11,Rabbanut,4,329
330,Product330,14.48,2024-03-08,2024-06-13,Rabbanut,5,330
331,Product331,89.92,2025-12-23,2025-08-29,Rabbanut,1,331
332,Product332,25.29,2025-09-12,2024-07-18,Rabbanut,2,332
333,Product333,31.42,2025-10-04,2024-04-25,Rabbanut,3,333
334,Product334,93.55,2025-12-15,2025-05-30,Rabbanut,4,334
335,Product335,11.95,2024-04-18,2024-11-09,Rabbanut,5,335
336,Product336,87.6,2024-05-05,2024-11-22,Rabbanut,1,336
337,Product337,68.31,2025-04-22,2025-08-21,Rabbanut,2,337
338,Product338,21.66,2024-09-16,2024-03-21,Rabbanut,3,338
339,Product339,37.15,2024-02-15,2025-03-04,Rabbanut,4,339
340,Product340,70.63,2025-05-16,2024-04-08,Rabbanut,5,340
341,Product341,22.67,2025-04-01,2025-01-25,Rabbanut,1,341
342,Product342,34.82,2025-08-30,2025-02-05,Rabbanut,2,342
343,Product343,76.93,2025-04-23,2025-01-29,Rabbanut,3,343
344,Product344,27.31,2024-01-11,2024-06-10,Rabbanut,4,344
345,Product345,59.16,2025-01-14,2025-09-18,Rabbanut,5,345
346,Product346,75.18,2025-04-02,2025-10-02,Rabbanut,1,346
347,Product347,19.25,2025-07-12,2024-10-10,Rabbanut,2,347
348,Product348,43.13,2025-07-27,2024-08-29,Rabbanut,3,348
349,Product349,99.93,2024-07-17,2024-04-28,Rabbanut,4,349
350,Product350,83.71,2024-02-03,2025-08-17,Rabbanut,5,350
351,Product351,13.14,2024-06-24,2025-05-21,Rabbanut,1,351
352,Product352,97.12,2025-09-05,2024-10-25,Rabbanut,2,352
353,Product353,42.34,2024-08-07,2025-08-29,Rabbanut,3,353
354,Product354,29.67,2025-02-06,2024-09-19,Rabbanut,4,354
355,Product355,73.78,2024-01-23,2024-09-29,Rabbanut,5,355
356,Product356,47.82,2025-09-28,2025-04-20,Rabbanut,1,356
357,Product357,65.03,2024-07-15,2025-09-04,Rabbanut,2,357
358,Product358,17.67,2024-11-30,2025-09-29,Rabbanut,3,358
359,Product359,6.34,2024-07-09,2024-05-16,Rabbanut,4,359
360,Product360,29.13,2024-02-11,2025-02-23,Rabbanut,5,360
361,Product361,43.9,2025-06-21,2025-08-25,Rabbanut,1,361
362,Product362,65.13,2024-05-29,2024-02-02,Rabbanut,2,362
363,Product363,31.24,2024-03-17,2024-03-29,Rabbanut,3,363
364,Product364,22.7,2024-01-04,2025-05-08,Rabbanut,4,364
365,Product365,28.09,2024-09-15,2025-09-18,Rabbanut,5,365
366,Product366,20.73,2024-10-28,2025-04-13,Rabbanut,1,366
367,Product367,22.11,2024-09-09,2024-07-11,Rabbanut,2,367
368,Product368,72.03,2024-09-03,2024-11-10,Rabbanut,3,368
369,Product369,61.27,2025-09-13,2025-01-15,Rabbanut,4,369
370,Product370,6.53,2025-12-31,2025-07-21,Rabbanut,5,370
371,Product371,51.03,2025-04-09,2025-04-16,Rabbanut,1,371
372,Product372,80.27,2024-08-17,2025-07-27,Rabbanut,2,372
373,Product373,75.07,2025-09-23,2024-07-30,Rabbanut,3,373
374,Product374,80.89,2025-11-15,2025-05-04,Rabbanut,4,374
375,Product375,29.73,2025-02-01,2024-02-26,Rabbanut,5,375
376,Product376,18.81,2025-11-18,2025-07-19,Rabbanut,1,376
377,Product377,72.04,2024-12-03,2024-12-16,Rabbanut,2,377
378,Product378,25.87,2024-09-27,2025-09-13,Rabbanut,3,378
379,Product379,29.77,2024-02-12,2024-04-11,Rabbanut,4,379
380,Product380,23.72,2024-08-12,2025-05-15,Rabbanut,5,380
381,Product381,80.39,2024-12-03,2025-02-20,Rabbanut,1,381
382,Product382,17.18,2024-08-15,2024-10-14,Rabbanut,2,382
383,Product383,85.31,2025-04-28,2025-02-03,Rabbanut,3,383
384,Product384,79.4,2024-10-29,2024-05-13,Rabbanut,4,384
385,Product385,30.08,2025-11-12,2025-05-25,Rabbanut,5,385
386,Product386,50.43,2024-09-11,2025-12-28,Rabbanut,1,386
387,Product387,10.2,2024-05-17,2024-11-23,Rabbanut,2,387
388,Product388,30.16,2025-11-14,2024-05-26,Rabbanut,3,388
389,Product389,81.05,2025-06-22,2024-02-01,Rabbanut,4,389
390,Product390,44.18,2025-02-17,2024-02-15,Rabbanut,5,390
391,Product391,80.29,2025-04-04,2025-10-11,Rabbanut,1,391
392,Product392,93.93,2025-09-13,2024-09-29,Rabbanut,2,392
393,Product393,65.06,2025-04-06,2025-04-26,Rabbanut,3,393
394,Product394,70.61,2025-08-29,2024-05-12,Rabbanut,4,394
395,Product395,70.17,2024-06-08,2025-01-31,Rabbanut,5,395
396,Product396,22.92,2025-05-21,2024-11-18,Rabbanut,1,396
397,Product397,15.32,2025-04-12,2025-09-24,Rabbanut,2,397
